#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-03-26T06:41:53 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-03-26T06:41:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=II/346/jsdc_v2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=II/346/jsdc_v2&-out=Dis&-out=Name&-out=SpType&-out=Bmag&-out=Vmag&Vmag=&lt;5.0&-out=Rmag&-out=Imag&-out=Jmag&-out=Hmag&-out=Kmag&-out=Lmag&-out=Mmag&-out=Nmag&-out=LDD&LDD=&gt;0.1&-out=e_LDD&-out=LDDCHI&-out=CalFlag&-out=UDDB&-out=UDDV&-out=UDDR&-out=UDDI&-out=UDDJ&-out=UDDH&-out=UDDK&-out=UDDL&-out=UDDM&-out=UDDN&-out=Simbad&-out=RAJ2000&-out=DEJ2000&DEJ2000=&gt;20&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_2346
#Name: II/346
#Title: JMMC Stellar Diameters Catalogue - JSDC. Version 2 (Bourges+, 2017)
#INFO	ivoid=ivo://cds.vizier/ii/346	    IVOID of underlying data collection
#INFO	creator=Bourges L.	    First author or institution
#INFO	cites=bibcode:2014ASPC..485..223B	    Article or Data origin sources
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/346	    Dataset landing page
#INFO	publication_date=2017-05-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	II_346_jsdc_v2:
#Name: II/346/jsdc_v2
#Title: Stellar diameters catalogue, version 2
#Column	Dis	(I3)	indicates differences between JSDC V1 and V2	[ucd=meta.note]
#Column	Name	(a33)	Normalised star name (preferably HD)	[ucd=meta.id;meta.main]
#Column	SpType	(a20)	Spectral Type from Simbad	[ucd=src.spType]
#Column	Bmag	(F7.3)	? B magnitude (Cat. I/259)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? V magnitude (Cat. I/259)	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F10.6)	? R magnitude (estimated)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F10.6)	? I magnitude (estimated)	[ucd=phot.mag;em.opt.I]
#Column	Jmag	(F7.3)	? J magnitude (Cat. II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? H magnitude (Cat. II/246)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F7.3)	? K magnitude (Cat. II/246)	[ucd=phot.mag;em.IR.K]
#Column	Lmag	(F7.3)	? L magnitude (Cat. II/311/wise W1mag)	[ucd=phot.mag;em.IR.3-4um]
#Column	Mmag	(F6.3)	? M magnitude (Cat. II/311/wise W2mag)	[ucd=phot.mag;em.IR.4-8um]
#Column	Nmag	(F10.6)	? N magnitude (Cat. II/311/wise W3mag)	[ucd=phot.mag;em.IR.8-15um]
#Column	LDD	(F9.6)	? Limb-Darkened Disk diameter	[ucd=phys.angSize]
#Column	e_LDD	(F9.6)	? Error on LDD (and all UDDs) (1)	[ucd=stat.error]
#Column	LDDCHI	(D12.5)	Chi2 of LDD fitting (2)	[ucd=stat.fit.chi2]
#Column	CalFlag	(I1)	[0/7] Confidence flags for using this star as a calibrator in Optical Interferometry experiments (3)	[ucd=meta.code]
#Column	UDDB	(F10.6)	? Uniform Disk Diameter in band B (4)	[ucd=phys.angSize;em.opt.B]
#Column	UDDV	(F10.6)	? Uniform Disk Diameter in band V (4)	[ucd=phys.angSize;em.opt.V]
#Column	UDDR	(F10.6)	? Uniform Disk Diameter in band R (4)	[ucd=phys.angSize;em.opt.R]
#Column	UDDI	(F10.6)	? Uniform Disk Diameter in band I (4)	[ucd=phys.angSize;em.opt.I]
#Column	UDDJ	(F10.6)	? Uniform Disk Diameter in band J (4)	[ucd=phys.angSize;em.IR.J]
#Column	UDDH	(F10.6)	? Uniform Disk Diameter in band H (4)	[ucd=phys.angSize;em.IR.H]
#Column	UDDK	(F10.6)	? Uniform Disk Diameter in band K (4)	[ucd=phys.angSize;em.IR.K]
#Column	UDDL	(F10.6)	? Uniform Disk Diameter in band L (4)	[ucd=phys.angSize;em.IR.3-4um]
#Column	UDDM	(F10.6)	? Uniform Disk Diameter in band M (4)	[ucd=phys.angSize;em.IR.4-8um]
#Column	UDDN	(F10.6)	? Uniform Disk Diameter in band N (4	[ucd=phys.angSize;em.IR.8-15um]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(A14)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A14)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
Dis	Name	SpType	Bmag	Vmag	Rmag	Imag	Jmag	Hmag	Kmag	Lmag	Mmag	Nmag	LDD	e_LDD	LDDCHI	CalFlag	UDDB	UDDV	UDDR	UDDI	UDDJ	UDDH	UDDK	UDDL	UDDM	UDDN	Simbad	RAJ2000	DEJ2000
 	 	 	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mas	mas	 	 	mas	mas	mas	mas	mas	mas	mas	mas	mas	mas	 	"h:m:s"	"d:m:s"
---	---------------------------------	--------------------	-------	-------	----------	----------	-------	-------	-------	-------	------	----------	---------	---------	------------	-	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	------	--------------	--------------
  0	* alf And                        	B8IV-VHgMn          	  2.032	  2.070	  2.043327	  2.218127	  2.129	  2.287	  2.223	       	      	  2.555000	 1.059556	 0.087162	 6.47714e-02	4	  1.014447	  1.021071	  1.029280	  1.036032	  1.042959	  1.046773	  1.048900	  1.053780	  1.055268	  1.056746	Simbad	00 08 23.25988	+29 05 25.5520
  0	* bet Cas                        	F2III               	  2.660	  2.280	  1.960376	  1.866305	  1.714	  1.585	  1.454	       	      	  1.462000	 1.967323	 0.204470	 8.83177e-03	4	  1.835882	  1.862646	  1.881784	  1.901315	  1.928858	  1.928858	  1.934610	  1.949240	  1.952289	  1.958589	Simbad	00 09 10.68518	+59 08 59.2120
  0	* chi Peg                        	M2III               	  6.362	  4.790	  3.378663	  2.425768	  1.757	  0.853	  0.724	       	      	  0.537000	 4.404122	 0.341081	 2.18993e-01	0	  4.076508	  4.138218	  4.165503	  4.196465	  4.247810	  4.247810	  4.329424	  4.368883	  4.368511	  4.380932	Simbad	00 14 36.16451	+20 12 24.1205
  0	HD1280                           	A2V                 	  4.669	  4.610	  4.530000	  4.520000	  4.872	  4.577	  4.416	  4.357	 4.132	  4.622000	 0.401761	 0.044361	 2.30967e-01	2	  0.380601	  0.383574	  0.388046	  0.391326	  0.394486	  0.396272	  0.397026	  0.399182	  0.399808	  0.400440	Simbad	00 17 05.49880	+38 40 53.8900
  1	* sig And                        	A2V                 	  4.564	  4.510	  4.151418	  4.471177	  4.345	  4.421	  4.464	  4.315	 4.072	  4.355000	 0.443136	 0.043596	 9.12450e-02	0	  0.419798	  0.423077	  0.428009	  0.431627	  0.435112	  0.437082	  0.437914	  0.440292	  0.440982	  0.441680	Simbad	00 18 19.65745	+36 47 06.8107
  0	* pi. And                        	B5V                 	  4.217	  4.340	  3.998515	  4.609633	  4.718	  4.697	  4.625	  4.662	 4.461	  4.799000	 0.293632	 0.027441	 6.60284e-02	6	  0.283626	  0.285106	  0.286956	  0.288398	  0.289933	  0.290784	  0.291236	  0.292337	  0.292639	  0.292878	Simbad	00 36 52.84926	+33 43 09.6384
  0	* zet Cas                        	B2IV                	  3.494	  3.690	  3.796186	  4.078618	  4.135	  4.248	  4.247	  4.299	 4.042	  4.396000	 0.297467	 0.031184	 2.38028e-02	4	  0.288533	  0.289781	  0.291352	  0.292563	  0.293997	  0.294720	  0.295163	  0.296209	  0.296440	  0.296634	Simbad	00 36 58.28419	+53 53 48.8673
  0	HD3546                           	G7IIIFe-3CH1        	  5.211	  4.340	  3.700000	  3.190000	  2.578	  2.154	  2.074	  2.035	 2.053	  2.250000	 1.858267	 0.156830	 1.77664e-02	0	  1.702638	  1.735761	  1.756604	  1.777416	  1.810663	  1.810663	  1.818454	  1.834208	  1.839853	  1.847504	Simbad	00 38 33.34610	+29 18 42.3130
  0	HD3627                           	K3III               	  4.538	  3.270	  2.360000	  1.700000	  0.986	  0.403	  0.467	  0.300	 0.456	  0.349000	 4.528876	 0.367691	 2.01876e-01	6	  4.107069	  4.193117	  4.250597	  4.310361	  4.399495	  4.399495	  4.421789	  4.462723	  4.479853	  4.499410	Simbad	00 39 19.67520	+30 51 39.6780
  0	* alf Cas                        	K0IIICN+1           	  3.410	  2.240	  1.346704	  0.816042	  0.311	 -0.210	 -0.303	       	      	 -0.213000	 5.789029	 0.393532	 1.27029e-02	0	  5.292403	  5.396214	  5.463353	  5.530611	  5.636638	  5.636638	  5.661913	  5.711756	  5.730389	  5.754510	Simbad	00 40 30.44107	+56 32 14.3922
  0	* ksi Cas                        	B2V                 	  4.695	  4.800	  4.826620	  5.018279	  5.024	  5.072	  5.083	  5.148	 4.990	  5.227000	 0.207005	 0.008030	 1.19939e+00	4	  0.200787	  0.201656	  0.202750	  0.203592	  0.204590	  0.205094	  0.205401	  0.206129	  0.206290	  0.206425	Simbad	00 42 03.89542	+50 30 45.0915
  0	* pi. Cas                        	A5V                 	  5.120	  4.950	  4.591109	  4.880680	  4.910	  4.765	  4.584	  4.558	 4.376	  4.626000	 0.406766	 0.035578	 1.07310e-01	4	  0.382994	  0.386149	  0.390956	  0.394511	  0.398220	  0.400296	  0.401209	  0.403704	  0.404463	  0.405264	Simbad	00 43 28.07045	+47 01 28.3694
  0	HD4180                           	B5IIIe              	  4.411	  4.480	  4.450000	  4.500000	  4.653	  4.612	  4.404	  3.973	 3.366	  2.820000	 0.320340	 0.029538	 1.80975e-01	6	  0.309424	  0.311039	  0.313057	  0.314629	  0.316304	  0.317233	  0.317726	  0.318927	  0.319257	  0.319517	Simbad	00 44 43.51870	+48 17 03.7140
  0	* zet And                        	K1III+KV            	  5.180	  4.080	  3.238899	  2.729202	  2.231	  1.615	  1.567	       	      	  1.507000	 2.469053	 0.255514	 1.25475e-02	4	  2.243322	  2.289517	  2.320156	  2.351964	  2.399883	  2.399883	  2.411682	  2.433677	  2.442734	  2.453343	Simbad	00 47 20.32547	+24 16 01.8408
